name,link,star,price,category
オホーツク産ホタテ玉冷大(1kg)★,https://www.satofull.jp/products/detail.php?product_id=3000691,4.8,14000,魚介・海産物>貝>帆立（ホタテ）
厚切り牛タン塩味 1kg(500g×2パック),https://www.satofull.jp/products/detail.php?product_id=1230065,4.4,15000,肉>牛肉（精肉）>焼肉>牛タン>その他牛肉（精肉）
【2024年発送】訳ありシャインマスカット3房1.3kg以上 ご自分...,https://www.satofull.jp/products/detail.php?product_id=1422800,4.8,12000,果物・フルーツ>ぶどう・マスカット
国産うなぎ蒲焼200g前後 × 2尾 計400g前後,https://www.satofull.jp/products/detail.php?product_id=1302210,4.3,10000,魚介・海産物>うなぎ
いくら醤油漬110g×5パック 合計約550g,https://www.satofull.jp/products/detail.php?product_id=1125179,4.6,15000,魚介・海産物>いくら
鉄板焼ハンバーグ(デミソース)20個セット,https://www.satofull.jp/products/detail.php?product_id=1043715,4.6,15000,肉>牛肉（加工品）>豚肉（加工品）>ハンバーグ>ハンバーグ
◆10月3日より寄附金額変更【最大6か月待ち】かみのやまシュー ...,https://www.satofull.jp/products/detail.php?product_id=3035449,4.6,3500,菓子・スイーツ>焼き菓子
訳あり 銀鮭 切身 約2kg / 宮城東洋 / 宮城県 気仙沼市 [20561645],https://www.satofull.jp/products/detail.php?product_id=3135822,4.8,11000,魚介・海産物>鮮魚>鮭・サーモン
【令和5年産米 先行受付】〈2024年07月発送〉お米4種食べくら...,https://www.satofull.jp/products/detail.php?product_id=3093549,4.6,14000,米・パン>米>精米>コシヒカリ>あきたこまち>その他米
【大反響!】【1000g】博多本場もつ鍋 醤油味「2人前×5回分」,https://www.satofull.jp/products/detail.php?product_id=1213874,4.6,13000,肉>惣菜・加工品>牛肉（加工品）>鍋>もつ鍋>肉
【先行受付】星乃シャインマスカット 数量限定(岡山県産) 2房(1...,https://www.satofull.jp/products/detail.php?product_id=1418979,5,17000,果物・フルーツ>ぶどう・マスカット
【訳あり】愛媛みかん 約5kg 光センサー選果 みかん職人武田屋,https://www.satofull.jp/products/detail.php?product_id=3074731,4.5,7000,果物・フルーツ>みかん
南九州産若鶏モモ身3.3kg(300g×11P) カット済!!,https://www.satofull.jp/products/detail.php?product_id=1291365,4.5,10000,肉>鶏肉>鶏肉（精肉）
